name,code_number,article_number,manufacturer,description,price
"Сменный блок для тетрадей на кольцах ACTION! , кл., 80 л.",A16326,AN 8001/R,Action!,Офсетная бумага плотностью 60 г/м2.  80 листов. Формат А5. Клетка,31.78
"Этикет-лента 21.5х12, прямоугольная, оранжевая, 800 шт/рул",F11464,ЭТ 21.5х12ор,Новотрейд,"В рулоне. Прямоугольные этикетки. Цвет - оранжевый. Размер 21,5х12 мм. 800 шт/рул",31.78
"Этикет-лента 21.5х12, прямоугольная, желтая, 800 шт/рул",F11465,ЭТ 21.5х12жел,Новотрейд,"В рулоне. Прямоугольные этикетки. Цвет - желтый. Размер 21,5х12 мм. 800 шт/рул",31.78
Термолента 57 ммх40х12 стандарт,A11025,ТЛ57х40/K,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 57 мм, наружный диаметр ролика - 32 мм, внутренний диаметр втулки - 12 мм, длина намотки - 40 м.",31.92
"Набор цветного картона FANCY ф. А4, 10цв., 10л(8цв.+зол и сереб), 2 дизайна",A16592,FCC-10/10,Action!,"Набор цветного картона FANCY ф. А4, 10цв., 10л(8цв.+зол и сереб), 2 дизайна",32.64
"Бумага DOUBLE A, А4, белизна 175%CIE, 80 г/м, 100 л, эвкалипт",00-00032216,DA-A4-80-100/R,DOUBLE A Public Co Ltd,"Экологически чистая бумага из эвкалиптовой целлюлозы, произведенная по безхлорной технологии, с отбеливанием кислородным способом. Подходит для копирования, фотокопии, струйной, лазерной и офсетной печати. Плотность - 80 г/м2. Белизна (CIE) -175%. 100 листов. Формат А4",76.31
"Бумага писчая для пишущих машин, ф.А4, 48,8 г/м, 500 л.Кондопога",A08116,К5221,Россия,"Бумага газетная плотностью 48,8 г/м2. 500 листов в пачке. Формат А4",118.1
"Бумага DOUBLE A, А5, белизна 175%CIE, 80 г/м, 500 л, эвкалипт/R",00-00034124,DA-A5-80-500/R,DOUBLE A Public Co Ltd,"Бумага DOUBLE A, А5, белизна 175%CIE, 80 г/м, 500 л, эвкалипт/R",160.74
"Бумага DOUBLE A, А4, белизна 175%CIE, 80 г/м, 250 л, эвкалипт/R",00-00035131,DA-A4-80-250/R,DOUBLE A Public Co Ltd,"Бумага DOUBLE A, А4, белизна 175%CIE, 80 г/м, 250 л, эвкалипт/R",160.74
"Бумага XEROX PERFORMER, ф.А4, белизна 146%, 80 г/м2, 500 л.",A11465,XEROX PERF/K,XEROX,"Универсальная бумага для всех видов копиров и лазерных принтеров, а также для офсетных аппаратов. Белизна (CIE) -146%, непрозрачность 91%. Плотность - 80 г/кв.м. 500 листов в пачке. Формат А4",242.31
"Бумага IQ ECONOMY, ф. А4, яркость 97%, белизна 146% CIE, 80 г/м2, 500 л.",A02602,IQ ECONOMY,MONDI BUSINESS PAPER,"Экономичная бумага для односторонней и дуплексной черно-белой печати и копирования. Оптимальное решение для среднескоростной офисной техники. Белизна (CIE) -146%, непрозрачность 92%. Плотность - 80 г/кв.м. 500 листов в пачке. Формат А4",251.22
"Бумага СНЕГУРОЧКА, ф. А4, яркость 96%, белизна 146% CIE, 80 г/м2, 500 л.",A01255,СНЕГУРОЧКА,MONDI BUSINESS PAPER,"Универсальная бумага для повседневной работы в офисе. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность - 90 %. Формат А4",251.22
"Бумага SVETOCOPY, ф.А4, яркость 94%, белизна 146%CIE, 80 г/м2, 500л.",A00276,SVETOCOPY,INTERNATIONAL PAPER,"Универсальная офисная бумага для любого типа принтеров,факсов и копировальных машин. Хорошее качество и доступная цена. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность 91%. Формат А4",253.69
"Бумага BALLET UNIVERSAL, ф. А4, яркость 94%, белизна 146% CIE, 80 г/м2, 500 л.",A00268,BALLET UNIV,INTERNATIONAL PAPER,"Бумага для качественной повседневной печати и копирования в больших объемах. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность 91 %. Формат А4",258.32
"Бумага IQ ALLROUND, ф. А4, белизна 161% CIE, яркость 97%, 80 г/м2, 500 л.",A09166,IQ ALLROUND*,MONDI BUSINESS PAPER,"Бумага IQ ALLROUND, ф. А4, белизна 161% CIE, яркость 97%, 80 г/м2, 500 л.",258.73
"Бумага BALLET CLASSIC, ф. А4, яркость 96%, белизна 153% CIE, 80 г/м2, 500 л.",A00270,BALLET,INTERNATIONAL PAPER,"Многофункциональная бумага подходит для печати на черно-белых и цветных принтерах. Благодаря своим характеристикам обеспечивает хорошее воспроизведение изображения. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -153%, непрозрачность 96%. Формат А4",263.5
"Бумага DOUBLE A, А4, белизна 175%CIE, 70 г/м, 500 л, эвкалипт/R",00-00035128,DA-A4-70-500/R,DOUBLE A Public Co Ltd,"Бумага DOUBLE A, А4, белизна 175%CIE, 70 г/м, 500 л, эвкалипт/R",264.65
"Бумага HP HOME OFFICE, ф. А4, белизна 146 % CIE, ЯРКОСТЬ 98 %, 80 г/м2, 500 л.",A12789,CHP150,INTERNATIONAL PAPER,"Идеальная бумага для стабильной печати больших объемов на скоростных копирах и принтерах. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность - 90%. Формат А4",268.34
"Бумага BALLET PREMIER, ф. А4, яркость 94%, белизна 161% CIE, 80 г/м2, 500 л.",A02028,BALLET PREM.,INTERNATIONAL PAPER,"Многофункциональная бумага высокого качества  гарантирует отличные  результаты печати как на цветном, так и на черно-белом лазерном и струйном принтерах, коппировальном аппарате.  Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -170, непрозрачность 94%. Формат А4",268.62
"Бумага XEROX OFFICE, ф.А4, белизна 96%, 80 г/м2, 500 л.",A08731,XEROX OFFICE,XEROX,"Универсальная  качественная офисная бумага для любых копиров и лазерных принтеров, а также офсетного оборудования.Оптимальная по соотношению цены и качества  Плотность - 80 г/кв.м, белизна - 161 % CIE, непрозрачность - 91%. 500 листов в пачке. Формат А4",270.6
"Бумага HP OFFICE PAPER, ф. А4, белизна 153%, яркость 96 %, 80 г/м2, 500 л.",A07227,CHP110,INTERNATIONAL PAPER,"Подходит для качественной многотиражной повседневной печати и копирования. Предотвращает скоростные принтеры от загрязнений и поломок. Плотность - 80 г/кв.м, белизна - 153 CIE %, непрозрачность - 90%. 500 листов в пачке. Формат А4",279.2
"Бумага DOUBLE A, А4, белизна 175%CIE, 75 г/м, 500 л, эвкалипт/R",00-00035130,DA-A4-75-500/R,DOUBLE A Public Co Ltd,"Бумага DOUBLE A, А4, белизна 175%CIE, 75 г/м, 500 л, эвкалипт/R",282.51
"Бумага BALLET BRILLIANT, ф. А4, белизна 168% CIE, яркоcть 112%,  80 г/м2, 500 л.",A32073,BALLET BRILLIANT,INTERNATIONAL PAPER,"Бумага премиального класса. Обладает высочайшей степенью белизны и повышенной степенью жесткости. Производится без применения  хлора по технологии ECF. Позволяет обеспечить максимально качественную цветопередачу при печати. Предназначена для печати документов на высокоскоростных принтерах и МФУ, а также подходит для двухсторонней черно-белой и цветной печати. Плотность - 82 г/кв.м, белизна - 168 % CIE, непрозрачность - 95%. 500 листов в пачке. Формат А4",283.84
"Бумага писчая, офсет, ф. А4, 65 г/м, 87%, 500 л.",A12662,К54659,Россия,Бумага - офсет плотностью 65 г/м2. 500 листов в пачке. Формат А4,291.7
"Бумага HP PRINTING, ф. А4, яркость 98%, белизна 161% CIE, 80 г/м2, 500 л.",A07229,CHP210,INTERNATIONAL PAPER,"Многофункциональная бумага высокого качества для лазерной и струйной печати. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -161%, непрозрачность - 91%. Формат А4",299.88
"Бумага XEROX BUSINESS, ф.А4, белизна 96%, 80 г/м2, 500 л.",A08620,XEROX BUSINESS/K,XEROX,"Многоцелевая качественная бумага. Стабильные качественные параметры этой бумаги позволяют широко использовать ее для двустороннего копирования.  Плотность - 80 г/кв.м, белизна - 164 % CIE, непрозрачность - 93%. 500 листов в пачке. Формат А4",347.19
"Бумага DATA COPY, ф. А4, 80 г/м2, 500 л.",A00271,7,Аntalis,"Высококачественная универсальная бумага. Дает отличный результат при ежедневной печати и высокоскоростном копировании.  Плотность - 80 г/кв.м, белизна - 170% CIE, непрозрачность - 93%,  500 листов в пачке. Формат А4",362.36
"Бумага XEROX PREMIER, ф.А4, белизна 165%, 80 г/м2, 500 л.",A11263,XEROX PREMIER,XEROX,"Офисная бумага высшей категории обладает  высокой степенью белизны и однородностью бумажной массы.  Идеальна для печати больших объемов на высокоскоростных лазерных принтерах и копирах. Плотность - 80 г/кв.м, белизна - 170 CIE, непрозрачность - 94%. 500 листов в пачке. Формат А4",364.54
"Бумага XEROX PERFORMER, ф.А3, белизна 146%, 80 г/м2, 500 л.",A16346,XEROX PERF/А3,XEROX,"Универсальная бумага для всех видов копиров и лазерных принтеров, а также для офсетных аппаратов. Белизна (CIE) -146%, непрозрачность 91%. Плотность - 80 г/кв.м. 500 листов в пачке. Формат А3",499.38
"Бумага СНЕГУРОЧКА, ф. А3, яркость 96%, белизна 146% CIE, 80 г/м2, 500 л.",A06117,СНЕГУРОЧКА/А3,MONDI BUSINESS PAPER,"Универсальная бумага для повседневной работы в офисе. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность - 90 %. Формат А3",502.45
"Бумага SVETOCOPY, ф. А3, яркость 94%, белизна 146% CIE, 80 г/м2, 500 л.",A00275,SVETOCOPY/А3,INTERNATIONAL PAPER,"Универсальная офисная бумага  для любого типа принтеров,факсов и копировальных машин. Хорошее качество и доступная цена. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность 91%. Формат А3",507.39
"Бумага BALLET UNIVERSAL, ф. А3, яркость 94%, белизна 146% CIE, 80 г/м2, 500 л.",A14340,BALLET UNIV/А3,INTERNATIONAL PAPER,"Бумага для качественной повседневной печати и копирования в больших объемах. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -146%, непрозрачность 91 %. Формат А3",516.63
"Бумага BALLET CLASSIC, ф. А3, яркость 96%, белизна 153% CIE, 80 г/м2, 500 л.",A00269,BALLET/A3,INTERNATIONAL PAPER,"Многофункциональная бумага подходит для печати на черно-белых и цветных принтерах. Благодаря своим характеристикам обеспечивает хорошее воспроизведение изображения. Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -153%, непрозрачность 96%. Формат А3",527.01
"Бумага BALLET PREMIER, ф. А3, белизна 161% CIE, яркоcть 98%,  80 г/м2, 500 л.",A05242,BALLET PREM/A3,INTERNATIONAL PAPER,"Многофункциональная бумага высокого качества  гарантирует отличные  результаты печати как на цветном, так и на черно-белом лазерном и струйном принтерах, коппировальном аппарате.  Плотность - 80 г/кв.м. 500 листов в пачке. Белизна (CIE) -170, непрозрачность 94%. Формат А3",537.24
"Бумага XEROX OFFICE, ф.А3, белизна 161%CIE, 80 г/м2, 500 л",A16451,421L91821,XEROX,"Универсальная  качественная офисная бумага для любых копиров и лазерных принтеров, а также офсетного оборудования.Оптимальная по соотношению цены и качества  Плотность - 80 г/кв.м, белизна - 161 % CIE, непрозрачность - 91%. 500 листов в пачке. Формат А3",541.2
"Бумага DOUBLE A, А3, белизна 175%CIE, 80 г/м, 500 л, эвкалипт",00-00032217,DA-A3-80-500/R,DOUBLE A Public Co Ltd,"Экологически чистая бумага из эвкалиптовой целлюлозы, произведенная по безхлорной технологии, с отбеливанием кислородным способом. Подходит для копирования, фотокопии, струйной, лазерной и офсетной печати. Плотность - 80 г/м2, белизна (CIE) -175%, непрозрачность 110%. 500 листов. Формат А3",603.98
"Бумага писчая, офсет, ф. А3, белизна 132% CIE, яркость 93%, 65 г/м, 500 л.",A12663,K54660,Россия,Бумага - офсет плотностью 65 г/м2. 500 листов в пачке. Формат А3,644.1
"Бумага XEROX BUSINESS, ф.А3, белизна 96%, 80 г/м2, 500 л.",A01546,XEROX BUSINESS/А3,XEROX,"Многоцелевая качественная бумага. Стабильные качественные параметры этой бумаги позволяют широко использовать ее для двустороннего копирования.  Плотность - 80 г/кв.м, белизна - 164 % CIE, непрозрачность - 93%. 500 листов в пачке. Формат А3",700.63
"Бумага XEROX PREMIER, ф.А3, белизна 98%, 80 г/м2, 500 л.",A14906,XEROX PREMIER/A3,XEROX,"Офисная бумага высшей категории обладает  высокой степенью белизны и однородностью бумажной массы.  Идеальна для печати больших объемов на высокоскоростных лазерных принтерах и копирах. Плотность - 80 г/кв.м, белизна - 170 CIE, непрозрачность - 94%. 500 листов в пачке. Формат А3",726.97
"Бумага DATA COPY, ф. А3, 80 г/м2, 500 л.",A20665,DATA COPYА3*,Аntalis,"Высококачественная универсальная бумага. Дает отличный результат при ежедневной печати и высокоскоростном копировании.  Плотность - 80 г/кв.м, белизна - 170% CIE, непрозрачность - 93%,  500 листов в пачке. Формат А3",764.64
