name,code_number,article_number,manufacturer,description,price
"Блокнот INDEX, серия Office classic, черный, на гребне, ф. А6, ламиниров. обл., 40 л., (INDEX)",A16424,INLcl-6/40bl,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А6, 40 листов. Цвет - черный",15.73
"Блокнот INDEX, серия Office classic, синий, на гребне, ф. А6, ламиниров. обл., 40 л., (INDEX)",A16422,INLcl-6/40bu,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А6, 40 листов. Цвет - синий",15.73
"Блокнот INDEX, серия Office classic, красный, на гребне, ф. А6, ламиниров. обл., 40 л., (INDEX)",A16423,INLcl-6/40r,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А6, 40 листов. Цвет - красный",15.73
"Новинка !!! Бумага для заметок, с липким слоем, желтая, разм. 76х75 мм, 80 л.",A17942,SP433601,SPONSOR,Цвет - желтый. Размер 76х75 мм. В блоке - 80 листов,16.06
Почетная грамота (золотая фольга) с Российской символикой,A08672,Г4ф_0410,ХАТБЕР,"Из мелованного картона с тиснением золотой фольгой. Фольгой оттиснены: заголовок, герб и изящная рамка - орнамент. Формат А4",16.17
Грамота (золотая фольга) с Российской символикой,A09165,Г4ф_0411,ХАТБЕР,"Из мелованного картона с тиснением золотой фольгой. Фольгой оттиснены: заголовок, герб и изящная рамка - орнамент. Формат А4",16.17
Термолента 57 ммх30х12 (B),A22326,ТЛ57х30/B17,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 57 мм, наружный диаметр ролика - 17 мм, внутренний диаметр втулки - 12 мм, длина намотки - 30 м.",17.03
"Бумага для заметок, с липким слоем, желтая, разм. 51х75 мм, 100 л.",A02173,I432601,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Желтый цвет. Размер 51х75 мм",17.28
"Блокнот INDEX, cерия colourplay, на гребне, синий, кл., ламиниров. обл., ф. А6, 40 л.",A16578,INLcp-6/40bu,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А6, цвет - синий",17.41
"Блокнот INDEX, cерия colourplay, на гребне, фиолетовый, кл., ламиниров. обл., ф. А6, 40 л.",A16580,INLcp-6/40v,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А6, цвет - фиолетовый",17.41
"Блокнот INDEX, cерия colourplay, на гребне, оранж, кл., ламиниров. обл., ф. А6, 40 л.",A16585,INLcp-6/40or,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А6, цвет - оранжевый",17.41
"Блокнот INDEX, cерия colourplay, на гребне, лиловый, кл., ламиниров. обл., ф. А6, 40 л.",A16583,INLcp-6/40p,INDEX,"Обложка -  высококачественный целлюлозный мелованный картон плотностью 200 г/м2. Внутренний блок - офсет плотностью 60 г/м2. Крепление - гребень. Клетка. 40 листов. Формат А6, цвет - лиловый",17.41
Термолента 44 ммх30х12 (В),A11472,ТЛ44Х30,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 44 мм, наружный диаметр ролика - 17 мм, внутренний диаметр втулки - 12 мм, длина намотки - 30 м.",17.61
"Пакет почтовый С3 (320х355), полиэтиленовый, 3-х сл., отрывная лента, Куда-Кому, ( 700 шт/уп), цена за 1 шт",A29926,11007/П,Постак,"Изготовлены из трехслойного непрозрачного полиэтилена высокого давления, имеют на клапане сильный клей с защитной лентой, а также защитную перфорацию для предотвращения несанкционированного доступа. На внешней стороне пакета можно писать обычной шариковой ручкой, для нанесения почтового штемпеля в углу пакета находится бумажная наклейка.Размер 320х355 мм (В3), 700 шт/уп",17.88
"Этикетка для этикет-пистолета 22х12 мм, белая, 500 шт./рул.|2",F00640,SPT500W,SPONSOR,"Этикетка для этикет-пистолета 22х12 мм, белая, 500 шт./рул.|2",17.9
"Бумага для заметок, с липким слоем, светло-зеленая, разм. 51х75 мм, 100 л.",A02175,I432803,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Зеленый цвет. Размер 51х75 мм",17.95
"Бумага для заметок, с липким слоем, светло-розовая, разм. 51х75 мм, 100 л.",A02176,I432804,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Розовый цвет. Размер 51х75 мм",17.95
"Бумага для заметок, с липким слоем, светло-голубая, разм. 51х75 мм, 100 л.",A02174,I432802,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Голубой цвет. Размер 51х75 мм",17.95
"Пакеты Bubble Bong с воздушной подушкой, D/1, 200х275/180х265, беленый крафт, отрывная лента, 100гр/м2, (100шт/упк)",A29929,12215,Постак,"Изготовлены из беленого крафта плотностью 100 г/м2.  Полиэтиленовая воздушно-пузырьковая пленка внутри. Отрывная лента и термоплавкий клей на клапане с высокой силой склеивания. Используются для отправки бьющихся предметов, требующих надежной защиты от ударов, падений и другого небрежного обращения. Внешний размер 200х275, внутренний размер 180х265 мм",18.19
"Бумага для заметок, с липким слоем, желтая, разм. 76х75 мм, 100 л.",A02177,I433601,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Желтый цвет. Размер 76х75 мм",18.98
"Этикетка для этикет-пистолета 22х12 мм, цветная, 500 шт./рул.",F00642,SPT500C,SPONSOR,"Этикетка для этикет-пистолета 22х12 мм, цветная, 500 шт./рул.",19.0
"Термолента 57 ммх30х12, А/19",A16539,ТЛ57х30/K*,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 57 мм, наружный диаметр ролика - 19 мм, внутренний диаметр втулки - 12 мм, длина намотки - 30 м.",19.01
"Бумага для заметок, с липким слоем, светло-зеленая, разм.76х75 мм, 100 л.",A02179,I433803,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Зеленый цвет. Размер 76х75 мм",19.4
